original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",I don't think K&G owes me therapy.,"मुझे 13 साल पहले हाई स्कूल में @kumandgo में काम करने की एक संकुचित स्मृति मिली और मुझे फोन का जवाब देना पड़ा क्योंकि हम Kum &amp; Go में सब कुछ करते हैं, यह Shelby है। मैं आपकी मदद कैसे कर सकता हूं?","मैंने फैशन डिजाइनिंग करने के बाद एक पीआर एजेंसी में बतौर इंटर्न काम करना शुरू किया था। एक बड़े फैशन वीक में मीडिया मैनेजर का मेरा काम था। इसी दौरान अचानक सलमान खान मेरे पास आए और बोले- 'तुम्हें अपना वजन कम करना होगा।' मैं हैरान हुई, वह ऐसा क्यों कह रहे हैं? फिर सलमान ने कहा- 'मैं तुम्हें अपने प्रोडक्शन की फिल्म 'दबंग' के लिए चुलबुल पांडे के अपोजिट कास्ट करना चाहता हूं।' मुझे तब भी कुछ समझ नहीं आया। सलमान सर ने फिर कहा-'लूज योर वेट।' फिर सलमान के ऑफिस से उनके मैनेजर का फोन आया, उन्होंने ऑफिस में मिलने को बुलाया। मुझे दस-बारह किलो वजन कम करने को कहा क्योंकि मुझे फिल्म 'दबंग' में रज्जो का रोल निभाना था। उस वक्त मैं इक्कीस साल की थी। मेरे पापा-मम्मी ने कहानी सुनने के बाद फिल्म करने की मंजूरी दे दी। इस तरह मैं फिल्म का हिस्सा बनी। बाद में मुझे इस फिल्म के लिए अवॉर्ड  मिला। आज इस फिल्म को नौ साल पूरे हो गए हैं लेकिन इस फिल्म की, सफर की यादें मेरे जेहन में ताजा हैं। मैं अपने एक्टिंग करियर का क्रेडिट सलमान खान को देती हूं, क्योंकि उनकी वजह से यह सब मुमकिन हुआ।",0.6069859
6 more hours and then a whoppingly massive 2days off work! wowzers!,I only have a measly 2 days off work.,6 और घंटे और फिर एक जबरदस्त 2 दिन काम से बाहर! wowzers!,दो ट्रक और एक रस्सी!,0.61524886
Ah gotta love that Friday morning burnt out feeling 🌄,I hate feeling burnt out from work and the never-ending pandemic., मुझे उस शुक्रवार की सुबह को प्यार करना चाहिए जो महसूस कर रहा था ,फ्रांस को सोमवार सुबह का इंतजार,0.6349452
They should just put a wall around the pitch to stop the ball going out,The ball leaves the pitch a lot  ,उन्हें गेंद को बाहर निकलने से रोकने के लिए मैदान के चारों ओर दीवार डालना चाहिए,खेत के आसपास साफ-सफाई रखें व खरपतवार को खेत के पास उगने न दें.,0.60218954
we happy!!!!!!!!!!,I am unhappy,हम खुश हैं!!!!!!!!!!,हमने पत्र लिखा है,0.6027317
When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰,"I would take out “when,” and insert more displeased looking emojis at the end or maybe have none at all",जब आप एक सप्ताह पहले बुकस्टोर से किताबें ऑर्डर करते हैं और फिर आप एक किताब के लिए तीन सप्ताह इंतजार करते हैं और जब आप अंततः उन्हें इसके बारे में ईमेल करते हैं तो वे जवाब देते हैं और कहते हैं कि उन्होंने आपका ऑर्डर रद्द कर दिया है 😍🥰,"इसलिए, यह महत्वपूर्ण है कि आप गेमस्टॉप पर एक आदेश रखने के नियमों और शर्तों को पढ़ें और समझें। आपको गेमस्टॉप से ऑर्डर के ईमेल के माध्यम से एक पुष्टिकरण प्राप्त करना चाहिए। कंपनी जल्द से जल्द रचना ईमेल भेजने की कोशिश करेगी। हालांकि, आपको एक या दो दिन का इंतजार करना पड़ सकता है, अगर यह छुट्टी का दिन हो या सप्ताहांत का। एक आदेश को रद्द करने के लिए, गेमस्टॉप को इसकी पुष्टि करने की आवश्यकता है। यदि नहीं, तो आपका रद्द करने का अनुरोध स्वीकार नहीं किया जा सकता है। आपके पास Gamestop से डिजिटल सॉफ़्टवेयर और गेम सहित किसी भी डिजिटल सामग्री के लिए ऑर्डर रद्द करने का अधिकार नहीं है। एक बार डिजिटल सामग्री उत्पन्न करने की अनुमति देने के लिए एक कोड उत्पन्न किया गया है, कोई उलट नहीं है। आपको यह भी पता होना चाहिए कि जब आप गेमस्टॉप से कुछ भी ऑर्डर करते हैं, तो आपके पास 14-दिन की वापसी की अवधि होती है। जब तक आप अनुशंसित अवधि के भीतर रद्दीकरण की दुकान को सूचित करते हैं, आपको बिना किसी समस्या के धनवापसी प्राप्त करनी चाहिए।",0.6148393
"You know the one thing I really wish I could see? I want  a Piers Morgan esque interview with #LilleeJean where she's forced to explain her shitty behaviour and see if she storms off or comes up with some BS to make her look cute and innocent.

It'd be a fun watch.",It would be interesting to see an actual documentary over a certain beauty blogger covering her events and asking her questions she would otherwise try to avoid.,आप जानते हैं एक बात मैं वास्तव में चाहता हूँ कि मैं देख सकता हूँ? मैं चाहता हूँ एक Piers Morgan esque साक्षात्कार के साथ #LilleeJean जहां वह अपने बकवास व्यवहार की व्याख्या करने के लिए मजबूर किया जाता है और यह देखने के लिए कि अगर वह तूफान से दूर या कुछ बकवास के साथ आता है उसे सुंदर और निर्दोष दिखने के लिए. यह एक मजेदार घड़ी होगी.,"मुझे यह स्वीकार करना होगा कि मैं वास्तव में भाग्यशाली हूं और मुझे इसी तरह की समस्याओं का सामना नहीं हुआ है। उत्सुक कपड़े की स्थिति वहां थी, कुछ सिलाई अलग हो गईं, लेकिन मैं फैशन शो की संगठनात्मक प्रक्रिया के प्रति इतनी चौकस थी कि मेरे पास हमेशा ध्यान देने और विशेषज्ञों को मरम्मत के लिए कॉल करने का समय था।",0.60535103
how do I get my boyfriend in a maid costume?,My boyfriend could look okay in a maid costume.,कैसे मैं एक नौकरानी पोशाक में मेरे प्रेमी मिल जाएगा?,एक गर्भवती दुल्हन के लिए शादी की पोशाक क्या होनी चाहिए?,0.6365538
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",My roommate has no redeeming qualities,"मैंने एक कमरे के साथी को हर दिन शिकायत ट्वीट किया है, और उसने कुछ और किया है, लेकिन मैं नकारात्मकता से थक गया हूं इसलिए मैं उसके बारे में सभी चीजों को सूचीबद्ध करने जा रहा हूं! यहाँ वे हैंः","इंस्टाग्राम अकाउंट पर एंडी ने लिखा, ‘हमें अपने परिवार, समाज और दोस्तों का काफी विरोध झेलना पड़ा, लेकिन ये सब मेरे लिए कोई मायने नहीं रखता, क्योंकि तुम (एटा) मेरा साथ देने के लिए हर वक़्त मेरे पास हो।’",0.63412607
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.","Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!","आज रात मैं ओले मिस के पूर्व चांसलर, एक पूर्व मिस एमएस, और मिस अमेरिका प्रतियोगिता के मालिक के साथ बैठकर बात कर रहा था।",जिले के सबसे पुराने लोकतंत्र मलाणा की आशा वर्कर निरमा देवी पीएम से संवाद करेंगी। जनजातीय जिला लाहौल-स्पीति के शाशुर गोंपा के लामा नवांग उपासक से भी पीएम मोदी संवाद करेंगे।,0.61231685
