original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,फिर कभी नहीं,0.8721268
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,कभी नहीं बनता,0.7709047
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,कभी नहीं छोड़ोगी,0.76003534
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,का है आना-जाना,0.7521224
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,अगर यही है ये खेल,0.7418038
i’m dying,i am so drained ,मैं मर रहा हूँ,जाती हूूं मैं,0.7393052
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,यूं होता है खेल,0.7353113
JUSTICE HAS BEEN DONE.,Justice will never be done,न्याय किया गया है।,सजा भी हो चुकी है,0.73389345
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,ठंडा पानी बिल्कुल न पिएं,0.7268204
why is the weather having a mid life crisis,“why is up with the weather at the moment” ,मौसम में मध्य आयु संकट क्यों है?,मौसम में ऐसा बदलाव क्यों?,0.72472113
JUSTICE HAS BEEN DONE.,Justice will never be done,न्याय किया गया है।,चुका है सजा,0.72177434
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,पीने का पानी भी नसीब नहीं,0.71926475
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,हो रही हैं.,0.7156131
"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. 
But how are we gonna pay for it? What’s next, chocolate milk for everybody?",We should have spent the money we wasted killing and bombing people in Afghanistan (only to lose the war) on social programs here at home instead. ,"अफ़ग़ानिस्तान सिर्फ पूरी तरह से ढह रहा है 2 ट्रिलियन डॉलर और 240,000 मानव जीवन खर्च करने के बाद 20 व्यर्थ वर्षों के अमेरिकी कब्जे के दौरान अद्भुत लगता है, सिद्धांत रूप में, निश्चित. लेकिन हम इसके लिए कैसे भुगतान करेंगे? अगला क्या है, सभी के लिए चॉकलेट दूध?","ये बात पूरी तरह से ज़ाहिर हो चुकी है कि अफ़ग़ानिस्तान में 20 वर्षों से चले आ रहे युद्ध में अमेरिका को ज़बरदस्त नुकसान उठाना पड़ा है. इतने लंबे समय से चली आ रही जंग से अमेरिकी ख़ज़ाने पर भारी बोझ पड़ा है और वहां की फ़ौज में भी थकान आ गई है. अमेरिका की ब्राउन यूनिवर्सिटी ने 20 वर्षों के अपने बेहतरीन शोध कार्य में बताया है कि अफ़ग़ानिस्तान में जारी ख़ूनख़राबे में करीब 1,75,000 लोगों को अपनी जान गंवानी पड़ी है. मारे गए इन लोगों में 51,000 आतंकवादी और विपक्षी लड़ाकों समेत करीब 2300 अमेरिकी फ़ौजी शामिल हैं. इसके साथ ही यहां की लड़ाई में अमेरिका को करीब 2 खरब डॉलर का खर्च उठाना पड़ा है. ऐसे में ये कतई आश्चर्य की बात नहीं है कि इतने वर्षों में एक के बाद एक तमाम अमेरिकी प्रशासन अफ़ग़ानिस्तान से बाइज़्ज़त बाहर निकलने का रास्ता तलाशते रहे हैं, फिर चाहे बेचारी अफ़ग़ान जनता मध्ययुगीन, दकियानूस, असहिष्णु और कट्टर तालिबानियों के रहमोकरम पर ही क्यों न रह जाएं.",0.71473247
i’m dying,i am so drained ,मैं मर रहा हूँ,यह है मृतक,0.71034765
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,ये है लागत का खेल,0.7097621
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,मुझे कभी गुस्सा नहीं आता,0.7093097
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,यह एक प्रकार की बीमारी ही है,0.7089731
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,वे कभी नहीं लौटेंगे,0.7062433
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,कभी खाली पेट नहीं भरा करती,0.7036798
love waking up in a panic 🥴🥴,I do not like waking up in a panic,प्यार एक आतंक में जागता है ,कोई प्यार में जिंदगी दे जाता है,0.70084876
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,"यही वजह है कि रेहाना की इस तस्वीर को वैसे जगहों पर लगाने से मना किया गया है, जहां बच्चों की पहुंच हो।",0.6973008
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,शुरू होता है,0.6969821
"Hey Siri, how do I stop simping?",I don't like that I put too much effort into someone who may not like me back.,"हे सिरी, मैं कैसे सिंपिंग बंद कर सकते हैं?",मैं संभोग से विरत रहना कैसे बंद करुँ?,0.69690335
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,हो रही है बात,0.696499
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,कभी नहीं से देर भली,0.69600844
never drinking again,I had a bad experience drinking today ,फिर कभी नहीं पीना,कभी आपको बाहर नहीं ले जाता,0.69497114
victoria has a crush on maluma,Victoria really enjoys maluma's music and talking about them.,विक्टोरिया को मालुमा से प्यार है,मल्लिका का येलो प्रेम,0.6939273
Headaches that last all day nonstop🥰😍,I hate headaches and I have one.,सिरदर्द जो पूरे दिन लगातार रहता है🥰😍,दिन भर लग रहा तांता,0.69165105
i’m dying,i am so drained ,मैं मर रहा हूँ,मैं दंग हूं,0.6911012
I’ve been laid off !! Nice:)),"""I can't believe I've been laid off. Super upset and nervous.""",मुझे निकाल दिया गया है !,छोड़ आया हूँ,0.6908505
"""Should I wear my lime green pants?"" dad its 4th of july...",Should I wear my red and blue pants ,"""क्या मुझे अपनी नींबू की हरी पैंट पहननी चाहिए?",एक नारंगी बैग पहनने के साथ क्या?,0.6887172
Ayeee it’s officially “I’m not even your girl” season 😛,I don’t belong to anybody until someone makes me change my Facebook status. ,"हाँ, यह आधिकारिक तौर पर है मैं आपकी लड़की भी नहीं हूँ सीजन 😛","नहीं, मैं तुम्हारी बेटी नहीं हूं!",0.6880729
maybe i am a cyber bully,Telling someone when they’re wrong and being ignorant doesnt make me a cyber bully.,हो सकता है कि मैं एक साइबर धमकाने वाला हूँ,बढ़ सकता है साइबर फ्रॉड,0.68793595
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,क्या है गेम में,0.68680364
Old people don’t deserve rights,old people suck,बुजुर्गों को अधिकार नहीं हैं,बुढ़ापा जल्‍दी नहीं आता,0.68648183
how do I get my boyfriend in a maid costume?,My boyfriend could look okay in a maid costume.,कैसे मैं एक नौकरानी पोशाक में मेरे प्रेमी मिल जाएगा?,शादी की पोशाक का रंग कैसे चुनें?,0.6837749
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.","i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""this bit of character death on a sunday has made me sad""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.","मुझे यह पसंद है कि मैंने सचमुच ही पांचवीं एचपी फिल्म देखी और फिर अपनी माँ की ओर मुड़कर कहा ""एक रविवार को चरित्र मृत्यु से प्यार करो:) "" डीएसएमपी लोर ने पात्रों से मेरी लगाव को पूरी तरह बर्बाद कर दिया है और अब मैं कहानियों को कैसे देखता हूं। मैं एक टूटी हुई महिला हूं।","उन्होंने कहा ""तो, मैंने टॉम (हिडलस्टन) के सभी सामान देखे और मैंने फिल्में देखीं और फिर मैंने इसे भूलने की कोशिश की क्योंकि मैं वास्तव में टॉम की लोकी की छाप नहीं बनाना चाहती थी। यह वास्तव में बुरा होता क्योंकि मैं छापों में भयानक हूं, इसलिए मैं इसे अपना बनाना चाहती थी और इसमें से बहुत कुछ लड़ने की शैली से शुरू हुआ और हमने तैयारी में सबसे पहली चीज स्टंट टीम के साथ काम करना शुरू किया और लड़ाई के ²श्यों पर काम करना था, इसलिए सीखने के लिए बहुत कुछ था।""",0.68237764
Old people don’t deserve rights,old people suck,बुजुर्गों को अधिकार नहीं हैं,अनुपस्थित रहने वाले शिक्षकों पर कार्यवाही का अधिकार नहीं,0.68221474
In sunny spain at the moment!!! Hows it all in england?,"its sunny in spain, sorry its raining back at home.",इस समय स्पेन में धूप है! इंग्लैंड में सब कुछ कैसा है?,इन दिनों पति के साथ स्पेन में बिता रही हैं समय,0.68042195
Anyone else hear some like thunder or something?,Anyone else hear that thunder?,क्या किसी और को गरजने की आवाज सुनाई देती है?,किसी ने क्यों नहीं सुनी गोली का आवाज!,0.68027216
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,बच्चे आस-पड़ोस में खेल सकेंगेे?,0.6798537
How bout you dont use a gazillion filters on your pictures,You edit your pictures so much it doesn’t look like you,आप अपनी तस्वीरों पर एक गैज़िलियन फिल्टर का उपयोग क्यों नहीं करते हैं,‘सेल्फी’ को सुंदर बनाने के लिए ‘फिल्टर’ का अधिक इस्तेमाल करते हैं भारतीय,0.6798226
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,i hate the fact that when summer finishes work at 8 i leave for my job and then when i come home she has to go to her job again,मेरे और गर्मियों के काम के शेड्यूल के बारे में मुझे जो पसंद है वह यह है कि वह रात 8 बजे खत्म हो जाएगी और फिर मैं रात 9 बजे काम करना शुरू करूंगा और फिर जब मैं सुबह 7 बजे घर आऊंगा तो वह सुबह 8 बजे काम करना शुरू करेगी ❤️,"इस योजना के तहत ऑफिस के शुरू होने का टाइम बदला जाएगा और यह सुबह 8:00 से 11:00  तक पीक ऑवर के दौरान होगा. दफ्तरों के शुरू होने का टाइम 8:00 से 11:00 के बीच किया जाएगा. कोई ऑफिस 8:00 बजे खुलेगा तो कोई ऑफिस 9:00 बजे खुलेगा, कोई ऑफिस 10:00 बजे खुलेगा कोई ऑफिस 11:00 बजे खुलेगा.",0.67868304
why is the weather having a mid life crisis,“why is up with the weather at the moment” ,मौसम में मध्य आयु संकट क्यों है?,मासिक धर्म प्रवाह क्यों?,0.6778497
Don't let people walk all over you. Or breathe on you. Either one.,"I would say "" It's difficult but do your best to not let people walk all over you. Or breathe on you."" ",लोगों को आपके चारों ओर चलने न दें या आपके ऊपर सांस न लें।,- किसी बाहरी व्यक्ति के आसपास घूमना या टहलने तक का कोई साक्ष्य नहीं मिला।,0.67718464
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,यात्रियों के लिए सोशल प्लेटफॉर्म की आवश्यकता क्यों है?,0.676513
Sleep? What’s that... I’ve never heard of it?,I haven't been able to sleep all night,नींद क्या है ... मैंने इसके बारे में कभी नहीं सुना है?,प्रश्न: रात में नींद नहीं आती हैं?,0.67603457
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",मैं इंतजार नहीं कर सकता जब तक मैं 110 साल की उम्र तक जीता हूं और मेरे पास लोग मुझसे पूछते हैं कि मैंने इतने लंबे समय तक कैसे जीया है ताकि मैं दीर्घायु के लिए कुछ हाइपर-विशिष्ट रहस्य बना सकूं जो लोग अपरिहार्य रूप से पालन करेंगे,"""मुझे आशा है कि लोग ठीक से वही समझ रहे हैं जो मैं कह रहा हूं, और ठीक उसी तरह जहां मैं आ रहा हूं। मैं 66 साल का हूं। मैंने इसे देखा है, मैं इसके माध्यम से गया हूं और मैंने इसे अन्य लोगों के साथ अनुभव किया है। यह इस तरह जारी नहीं रह सकता है - हमें यह समझना होगा कि लोग लोग हैं, ""होल्डिंग ने भी कहा।",0.6757432
